tick_ts_ms,symbols_count,bytes_sent_per_client
1762758574279,3,87
1762758574379,3,87
1762758574480,3,87
1762758574581,3,87
1762758574682,3,87
1762758574783,3,87
1762758574884,3,87
1762758574985,3,87
1762758575086,3,87
1762758575187,3,87
1762758575288,3,87
1762758575389,3,87
1762758575489,3,87
1762758575591,3,87
1762758575691,3,87
1762758575792,3,87
1762758575893,3,87
1762758575994,3,87
1762758576095,3,87
1762758576196,3,87
1762758576297,3,87
1762758576398,3,87
1762758576499,3,87
1762758576600,3,87
1762758576700,3,87
1762758576802,3,87
1762758576902,3,87
1762758577003,3,87
1762758577105,3,87
1762758577206,3,87
1762758577307,3,87
1762758577408,3,87
1762758577509,3,87
1762758577610,3,87
1762758577711,3,87
1762758577812,3,87
1762758577912,3,87
1762758578013,3,87
1762758578114,3,87
1762758578215,3,87
1762758578316,3,87
1762758578417,3,87
1762758578517,3,87
1762758578618,3,87
1762758578719,3,87
1762758578820,3,87
1762758578921,3,87
1762758579022,3,87
1762758579123,3,87
1762758579224,3,87
1762758579325,3,87
1762758579425,3,87
1762758579526,3,87
1762758579627,3,87
1762758579728,3,87
1762758579829,3,87
1762758579930,3,87
1762758580031,3,87
1762758580132,3,87
1762758580233,3,87
1762758580334,3,87
1762758580435,3,87
1762758580536,3,87
1762758580636,3,87
1762758580737,3,87
1762758580838,3,87
1762758580939,3,87
1762758581040,3,87
1762758581141,3,87
1762758581241,3,87
1762758581342,3,87
1762758581443,3,87
1762758581544,3,87
1762758581645,3,87
1762758581746,3,87
1762758581846,3,87
1762758581947,3,87
1762758582048,3,87
1762758582149,3,87
1762758582250,3,87
1762758582350,3,87
1762758582451,3,87
1762758582552,3,87
1762758582653,3,87
1762758582754,3,87
1762758582854,3,87
1762758582955,3,87
1762758583056,3,87
1762758583157,3,87
1762758583258,3,87
1762758583358,3,87
1762758583459,3,87
1762758583560,3,87
1762758583661,3,87
1762758583762,3,87
1762758583862,3,87
1762758583963,3,87
1762758584064,3,87
1762758584165,3,87
1762758584266,3,87
1762758584367,3,87
1762758584468,3,87
1762758584569,3,87
1762758584669,3,87
1762758584770,3,87
1762758584871,3,87
1762758584972,3,87
1762758585072,3,87
1762758585173,3,87
1762758585274,3,87
1762758585375,3,87
1762758585476,3,87
1762758585576,3,87
1762758585677,3,87
1762758585778,3,87
1762758585879,3,87
1762758585980,3,87
1762758586080,3,87
1762758586182,3,87
1762758586282,3,87
1762758586383,3,87
1762758586484,3,87
1762758586585,3,87
1762758586686,3,87
1762758586787,3,87
1762758586888,3,87
1762758586988,3,87
1762758587089,3,87
1762758587190,3,87
1762758587291,3,87
1762758587392,3,87
1762758587493,3,87
1762758587593,3,87
1762758587694,3,87
1762758587795,3,87
1762758587896,3,87
1762758587997,3,87
1762758588098,3,87
1762758588199,3,87
1762758588299,3,87
1762758588400,3,87
1762758588501,3,87
1762758588602,3,87
1762758588703,3,87
1762758588803,3,87
1762758588904,3,87
1762758589005,3,87
1762758589106,3,87
1762758589207,3,87
1762758589307,3,87
1762758589408,3,87
1762758589509,3,87
1762758589610,3,87
1762758589710,3,87
1762758589811,3,87
1762758589912,3,87
1762758590013,3,87
1762758590114,3,87
1762758590215,3,87
1762758590316,3,87
1762758590416,3,87
1762758590517,3,87
1762758590618,3,87
1762758590719,3,87
1762758590820,3,87
1762758590921,3,87
1762758591021,3,87
1762758591122,3,87
1762758591223,3,87
1762758591324,3,87
1762758591425,3,87
1762758591526,3,87
1762758591626,3,87
1762758591727,3,87
1762758591828,3,87
1762758591929,3,87
1762758592030,3,87
1762758592130,3,87
1762758592231,3,87
1762758592332,3,87
1762758592433,3,87
1762758592534,3,87
1762758592635,3,87
1762758592736,3,87
1762758592836,3,87
1762758592937,3,87
1762758593038,3,87
1762758593139,3,87
1762758593240,3,87
1762758593341,3,87
1762758593442,3,87
1762758593543,3,87
1762758593644,3,87
1762758593745,3,87
1762758593846,3,87
1762758593948,3,87
1762758594049,3,87
1762758594150,3,87
1762758594251,3,87
1762758594352,3,87
1762758594453,3,87
1762758594554,3,87
1762758594655,3,87
1762758594756,3,87
1762758594857,3,87
1762758594958,3,87
1762758595060,3,87
1762758595160,3,87
1762758595262,3,87
1762758595363,3,87
1762758595464,3,87
1762758595565,3,87
1762758595666,3,87
1762758595768,3,87
1762758595869,3,87
1762758595970,3,87
1762758596071,3,87
1762758596172,3,87
1762758596273,3,87
1762758596374,3,87
1762758596475,3,87
1762758596576,3,87
1762758596677,3,87
1762758596779,3,87
1762758596880,3,87
1762758596981,3,87
1762758597082,3,87
1762758597184,3,87
1762758597285,3,87
1762758597386,3,87
1762758597487,3,87
1762758597588,3,87
1762758597689,3,87
1762758597790,3,87
1762758597891,3,87
1762758597992,3,87
1762758598093,3,87
1762758598194,3,87
1762758598295,3,87
1762758598396,3,87
1762758598497,3,87
1762758598598,3,87
1762758598700,3,87
1762758598801,3,87
1762758598902,3,87
1762758599002,3,87
1762758599103,3,87
1762758599204,3,87
1762758599305,3,87
1762758599406,3,87
1762758599507,3,87
1762758599609,3,87
1762758599710,3,87
1762758599810,3,87
1762758599912,3,87
1762758600013,3,87
1762758600114,3,87
1762758600215,3,87
1762758600316,3,87
1762758600417,3,87
1762758600518,3,87
1762758600619,3,87
1762758600719,3,87
1762758600821,3,87
1762758600922,3,87
1762758601023,3,87
1762758601124,3,87
1762758601225,3,87
1762758601326,3,87
1762758601427,3,87
1762758601528,3,87
1762758601629,3,87
1762758601730,3,87
1762758601830,3,87
1762758601932,3,87
1762758602032,3,87
1762758602133,3,87
1762758602235,3,87
1762758602335,3,87
1762758602436,3,87
1762758602538,3,87
1762758602639,3,87
1762758602740,3,87
1762758602841,3,87
1762758602942,3,87
1762758603042,3,87
1762758603143,3,87
1762758603244,3,87
1762758603345,3,87
1762758603446,3,87
1762758603546,3,87
1762758603647,3,87
1762758603748,3,87
1762758603849,3,87
1762758603950,3,87
1762758604051,3,87
1762758604151,3,87
1762758604252,3,87
1762758604353,3,87
1762758604454,3,87
1762758604555,3,87
1762758604656,3,87
1762758604757,3,87
1762758604859,3,87
1762758604960,3,87
1762758605060,3,87
1762758605162,3,87
1762758605263,3,87
1762758605363,3,87
1762758605465,3,87
1762758605566,3,87
1762758605667,3,87
1762758605768,3,87
1762758605869,3,87
1762758605970,3,87
1762758606071,3,87
1762758606172,3,87
1762758606273,3,87
1762758606374,3,87
1762758606474,3,87
1762758606575,3,87
1762758606676,3,87
1762758606777,3,87
1762758606878,3,87
1762758606978,3,87
1762758607079,3,87
1762758607182,3,87
1762758607283,3,87
1762758607384,3,87
1762758607485,3,87
1762758607586,3,87
1762758607686,3,87
1762758607787,3,87
1762758607888,3,87
1762758607989,3,87
1762758608090,3,87
1762758608190,3,87
1762758608291,3,87
1762758608392,3,87
1762758608493,3,87
1762758608593,3,87
1762758608694,3,87
1762758608795,3,87
1762758608896,3,87
1762758608997,3,87
1762758609097,3,87
1762758609198,3,87
1762758609299,3,87
1762758609400,3,87
1762758609501,3,87
1762758609602,3,87
1762758609702,3,87
1762758609803,3,87
1762758609904,3,87
1762758610005,3,87
1762758610106,3,87
1762758610206,3,87
1762758610307,3,87
1762758610408,3,87
1762758610509,3,87
1762758610610,3,87
1762758610711,3,87
1762758610811,3,87
1762758610912,3,87
1762758611013,3,87
1762758611114,3,87
1762758611215,3,87
1762758611316,3,87
1762758611416,3,87
1762758611517,3,87
1762758611618,3,87
1762758611719,3,87
1762758611820,3,87
1762758611921,3,87
1762758612022,3,87
1762758612122,3,87
1762758612223,3,87
1762758612325,3,87
1762758612426,3,87
1762758612527,3,87
1762758612628,3,87
1762758612729,3,87
1762758612830,3,87
1762758612931,3,87
1762758613034,3,87
1762758613134,3,87
1762758613235,3,87
1762758613336,3,87
1762758613437,3,87
1762758613538,3,87
1762758613639,3,87
1762758613740,3,87
1762758613841,3,87
1762758613942,3,87
1762758614043,3,87
1762758614144,3,87
1762758614244,3,87
